rtn003,非常嚴重錯誤 --- 請按 <RETURN> 鍵 繼續,
rtn004,不正常原因 :,
sgn001,使用者管理表資料檔 fle/wsfumt 開啟失敗,
sgn002,畫面代碼轉換失敗,
shd001,關機須在 console 做,
shd002,關機須在 user id = 0 的 login 下做,
sig001,掛斷控制終端機信號,
sig002,控制終端機發出之中斷信號,
sig003,控制終端機發出之停止信號,
sig004,錯誤指令信號,
sig005,程式追蹤之中斷點信號,
sig006,輸出入之中斷點信號,
sig007,"硬體模擬器之中斷點信號                                                                         	",
sig008,浮點數運算錯誤信號,"	"
sig009,"傳送信號至一個程序並停止該程序之執行                                             	",
sig010,匯流排錯誤信號,"	"
sig011,分段(segmentation)衝突,"	"
sig012,系統呼叫之引數錯誤,"	"
sig013,"只對管道寫入資料而未讀取資料                                                             	",
sig014,鬧鐘(由系統常式 alarm 發出),"	"
sig015,軟體結束信號,"	"
sig016,使用者定義的信號 1,"	"
sig017,使用者定義的信號 2,"	"
sig018,子程序死亡信號,"	"
sig019,動力故障信號,"	"
sig022,選擇事件延遲信號,"	"
sig099,無法預知的信號,"	"
stp100,"不正常關機	是否執行重開機[yes/no]?",
str001,資料選集區(DSA)開啟失敗,"	"
tmt001,"終端機登入系統工作區失敗	終端機資料不在 SWA 中",
tar001,檔案開啟失敗,"	"
tar002,檔案拷貝正在進行中,"	"
XURM00,已傳送至伺服器   ,
XURM01,註銷成功       ,
XURM02,傳送至交換單位成功   ,
XURM03,自動轉送內政部中  ,
XURM11,傳送至交換單位失敗      ,
XURM12,無此記錄可註銷,
XURM13,已傳送，不可註銷  ,
XURM98,檔案大小超過傳輸限制,
XURM99,該單位超過重試次數限制,
